,Tipster,Bet Type,Odds,Odds,Result_cost,Result_cost,Result_cost,Active Status
,,count,median,max,mean,median,max,
0,Tipster A,1331,5.5,51.0,1.860187828700226,-1.0,51.0,True
1,Tipster A1,2446,9.0,201.0,0.5821831561733444,-1.0,101.0,True
2,Tipster B,503,9.0,130.0,0.7269781312127237,-1.0,67.0,True
3,Tipster B1,2497,4.0,34.0,0.34952342811373677,-1.0,26.0,False
4,Tipster C,1738,12.0,101.0,2.4973935558112776,-1.0,101.0,False
5,Tipster C1,501,8.0,101.0,0.7602195608782434,-1.0,34.0,False
6,Tipster D,741,15.0,151.0,1.1612685560053981,-1.0,51.0,True
7,Tipster D1,2119,17.0,126.0,2.3000896649362903,-1.0,101.0,True
8,Tipster E,3700,4.33,101.0,0.34274054054054026,-1.0,15.0,True
9,Tipster E1,609,6.5,67.0,1.3258784893267652,-1.0,29.0,False
10,Tipster F,146,7.5,67.0,1.9023972602739727,-1.0,34.0,False
11,Tipster G,290,19.0,101.0,3.8982758620689655,-1.0,67.0,True
12,Tipster H,833,11.0,105.0,0.30873949579831933,-1.0,34.0,False
13,Tipster I,453,9.0,101.0,1.1840397350993375,-1.0,67.0,True
14,Tipster J,1937,10.0,407.0,0.9758440887971089,-1.0,67.0,True
15,Tipster K,246,4.5,26.0,0.6656910569105691,-1.0,17.0,True
16,Tipster L,1425,7.5,101.0,0.4166245614035088,-1.0,26.0,False
17,Tipster M,957,8.0,67.0,1.6485893416927901,-1.0,51.0,True
18,Tipster N,415,7.0,67.0,1.7334698795180723,-1.0,34.0,False
19,Tipster O,1094,17.0,151.0,0.37774223034734916,-1.0,44.0,True
20,Tipster P,581,5.5,14.5,0.41213425129087783,-1.0,11.5,True
21,Tipster Q,1552,7.5,81.0,0.4537757731958763,-1.0,34.0,False
22,Tipster R,1901,4.0,51.0,0.8381536033666499,-1.0,34.0,True
23,Tipster S,383,8.0,50.0,1.0281201044386423,-1.0,34.0,True
24,Tipster T,1332,11.0,67.0,0.25006006006006004,-1.0,67.0,True
25,Tipster U,383,11.0,67.0,1.299060052219321,-1.0,26.0,True
26,Tipster V,406,11.0,75.0,0.11982758620689657,-1.0,26.0,True
27,Tipster W,994,13.0,281.0,0.503148893360161,-1.0,101.0,False
28,Tipster X,4383,9.0,34.0,0.5210814510609172,-1.0,34.0,True
29,Tipster Y,1469,7.0,41.0,0.7282232811436353,-1.0,26.0,False
30,Tipster Z,883,5.0,51.0,1.0875198187995472,-1.0,34.0,False
